handle,name,url,httpStatus,shopifyStatus,bioLen,viewpointEmpty,viewpointParseError,masterworksEmpty,imagePresent,imagePermission,deathYear
chokai-seiji,"鳥海 青児",https://atspect.com/pages/artist/chokai-seiji,200,ACTIVE,140,false,false,false,false,未取得,"1972"
ebihara-kinosuke,"海老原 喜之助",https://atspect.com/pages/artist/ebihara-kinosuke,200,ACTIVE,135,false,false,false,false,未取得,"1970"
kojima-zenzaburo,"児島 善三郎",https://atspect.com/pages/artist/kojima-zenzaburo,200,ACTIVE,166,false,false,false,false,未取得,"1962"
fukuzawa-ichiro,"福沢 一郎",https://atspect.com/pages/artist/fukuzawa-ichiro,200,ACTIVE,196,false,false,false,false,未取得,"1992"
koiso-ryohei,"小磯 良平",https://atspect.com/pages/artist/koiso-ryohei,200,ACTIVE,182,false,false,false,false,未取得,"1988"
inokuma-genichiro,"猪熊 弦一郎",https://atspect.com/pages/artist/inokuma-genichiro,200,ACTIVE,177,false,false,false,false,未取得,"1993"
wakita-kazu,"脇田 和",https://atspect.com/pages/artist/wakita-kazu,200,ACTIVE,118,false,false,false,false,未取得,"2005"
yamaguchi-takeo,"山口 長男",https://atspect.com/pages/artist/yamaguchi-takeo,200,ACTIVE,113,false,false,false,false,未取得,"1983"
oguiss-takanori,"荻須 高徳",https://atspect.com/pages/artist/oguiss-takanori,200,ACTIVE,119,false,false,false,false,未取得,"1986"
kazuki-yasuo,"香月 泰男",https://atspect.com/pages/artist/kazuki-yasuo,200,ACTIVE,190,false,false,false,false,未取得,"1974"
matsumoto-shunsuke,"松本 竣介",https://atspect.com/pages/artist/matsumoto-shunsuke,200,ACTIVE,180,false,false,false,false,未取得,"1948"
aimitsu,"靉光",https://atspect.com/pages/artist/aimitsu,200,ACTIVE,203,false,false,false,false,未取得,"1946"
togo-seiji,"東郷 青児",https://atspect.com/pages/artist/togo-seiji,200,ACTIVE,197,false,false,false,false,未取得,"1978"
miyamoto-saburo,"宮本 三郎",https://atspect.com/pages/artist/miyamoto-saburo,200,ACTIVE,111,false,false,false,false,未取得,"1974"
tasaki-hirosuke,"田崎 広助",https://atspect.com/pages/artist/tasaki-hirosuke,200,ACTIVE,112,false,false,false,false,未取得,"1984"
ushijima-noriyuki,"牛島 憲之",https://atspect.com/pages/artist/ushijima-noriyuki,200,ACTIVE,106,false,false,false,false,未取得,"1997"
koyama-keizo,"小山 敬三",https://atspect.com/pages/artist/koyama-keizo,200,ACTIVE,103,false,false,false,false,未取得,"1987"
kumagai-morikazu,"熊谷 守一",https://atspect.com/pages/artist/kumagai-morikazu,200,ACTIVE,184,false,false,false,false,未取得,"1977"
ishii-hakutei,"石井 柏亭",https://atspect.com/pages/artist/ishii-hakutei,200,ACTIVE,114,false,false,false,false,未取得,"1958"
arishima-ikuma,"有島 生馬",https://atspect.com/pages/artist/arishima-ikuma,200,ACTIVE,94,false,false,false,false,未取得,"1974"
yamashita-shintaro,"山下 新太郎",https://atspect.com/pages/artist/yamashita-shintaro,200,ACTIVE,106,false,false,false,false,未取得,"1966"
shimizu-toshi,"清水 登之",https://atspect.com/pages/artist/shimizu-toshi,200,ACTIVE,106,false,false,false,false,未取得,"1945"
takabatake-tatsushiro,"高畠 達四郎",https://atspect.com/pages/artist/takabatake-tatsushiro,200,ACTIVE,87,false,false,false,false,未取得,"1976"
satomi-katsuzo,"里見 勝蔵",https://atspect.com/pages/artist/satomi-katsuzo,200,ACTIVE,190,false,false,false,false,未取得,"1981"
hayashi-shizue,"林 倭衛",https://atspect.com/pages/artist/hayashi-shizue,200,ACTIVE,100,false,false,false,false,未取得,"1945"
hazama-inosuke,"硲 伊之助",https://atspect.com/pages/artist/hazama-inosuke,200,ACTIVE,92,false,false,false,false,未取得,"1977"
somiya-ichinen,"曾宮 一念",https://atspect.com/pages/artist/somiya-ichinen,200,ACTIVE,91,false,false,false,false,未取得,"1994"
suzuki-shintaro,"鈴木 信太郎",https://atspect.com/pages/artist/suzuki-shintaro,200,ACTIVE,160,false,false,false,false,未取得,"1989"
terauchi-manjiro,"寺内 萬治郎",https://atspect.com/pages/artist/terauchi-manjiro,200,ACTIVE,158,false,false,false,false,未取得,"1964"
nakamura-kenichi,"中村 研一",https://atspect.com/pages/artist/nakamura-kenichi,200,ACTIVE,165,false,false,false,false,未取得,"1967"
miyake-kokki,"三宅 克己",https://atspect.com/pages/artist/miyake-kokki,200,ACTIVE,180,false,false,false,false,未取得,"1954"
oshita-tojiro,"大下 藤次郎",https://atspect.com/pages/artist/oshita-tojiro,200,ACTIVE,205,false,false,false,false,未取得,"1911"
yoshida-hiroshi,"吉田 博",https://atspect.com/pages/artist/yoshida-hiroshi,200,ACTIVE,207,false,false,false,false,未取得,"1950"
yamaguchi-kaoru,"山口 薫",https://atspect.com/pages/artist/yamaguchi-kaoru,200,ACTIVE,172,false,false,false,false,未取得,"1968"
murai-masanari,"村井 正誠",https://atspect.com/pages/artist/murai-masanari,200,ACTIVE,178,false,false,false,false,未取得,"1999"
nambata-tatsuoki,"難波田 龍起",https://atspect.com/pages/artist/nambata-tatsuoki,200,ACTIVE,167,false,false,false,false,未取得,"1997"
aso-saburo,"麻生 三郎",https://atspect.com/pages/artist/aso-saburo,200,ACTIVE,172,false,false,false,false,未取得,"2000"
tsuruoka-masao,"鶴岡 政男",https://atspect.com/pages/artist/tsuruoka-masao,200,ACTIVE,145,false,false,false,false,未取得,"1979"
inoue-chozaburo,"井上 長三郎",https://atspect.com/pages/artist/inoue-chozaburo,200,ACTIVE,139,false,false,false,false,未取得,"1995"
yamashita-kikuji,"山下 菊二",https://atspect.com/pages/artist/yamashita-kikuji,200,ACTIVE,164,false,false,false,false,未取得,"1986"
kamoi-rei,"鴨居 玲",https://atspect.com/pages/artist/kamoi-rei,200,ACTIVE,185,false,false,false,false,未取得,"1985"
noguchi-yataro,"野口 弥太郎",https://atspect.com/pages/artist/noguchi-yataro,200,ACTIVE,156,false,false,false,false,未取得,"1976"
kobayashi-wasaku,"小林 和作",https://atspect.com/pages/artist/kobayashi-wasaku,200,ACTIVE,156,false,false,false,false,未取得,"1974"
tanaka-yasushi,"田中 保",https://atspect.com/pages/artist/tanaka-yasushi,200,ACTIVE,204,false,false,false,false,未取得,"1941"
nakamura-fusetsu,"中村 不折",https://atspect.com/pages/artist/nakamura-fusetsu,200,ACTIVE,185,false,false,false,false,未取得,"1943"
