区分,小分類,handle,氏名(日本語),現行ローマ字,読み(かな),規則から作った形,判定の理由
規則どおり,,mori-hanae,森 英恵,Mori Hanae,もり はなえ,,符号つきで一致
要裁定,(a) 長音の書き方,takada-kenzo,高田 賢三,Takada Kenzo,たかだ けんぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
定着表記の候補,,miyake-issey,三宅 一生,Miyake Issey,みやけ いっせい,いっせい→現行 Issey ／規則の形 Issei・Issei・Issei,不一致(英語風の綴り)（出典の確認が要る）
規則どおり,,yamamoto-kansai,山本 寛斎,Yamamoto Kansai,やまもと かんさい,,符号つきで一致
規則どおり,,ashida-jun,芦田 淳,Ashida Jun,あしだ じゅん,,符号つきで一致
規則どおり,,katsura-yumi,桂 由美,Katsura Yumi,かつら ゆみ,,符号つきで一致
規則どおり,,koshino-ayako,小篠 綾子,Koshino Ayako,こしの あやこ,,符号つきで一致
要裁定,(a) 長音の書き方,yunoki-samiro,柚木 沙弥郎,Yunoki Samiro,ゆのき さみろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(b) 個別,nakahara-junichi,中原 淳一,Nakahara Junichi,なかはら じゅんいち,じゅんいち→現行 Junichi ／規則の形 Jun'ichi・Jun'ichi・Jun'ichi,不一致(読みと合わない)
要裁定,(a) 長音の書き方,kuwasawa-yoko,桑沢 洋子,Kuwasawa Yoko,くわさわ ようこ,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,tanaka-chiyo,田中 千代,Tanaka Chiyo,たなか ちよ,,符号つきで一致
要裁定,(a) 長音の書き方,taro-okamoto,岡本 太郎,Okamoto Taro,おかもと たろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,jiro-yoshihara,吉原 治良,Yoshihara Jiro,よしはら じろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,kazuo-shiraga,白髪 一雄,Shiraga Kazuo,しらが かずお,,符号つきで一致
要裁定,(a) 長音の書き方,shozo-shimamoto,嶋本 昭三,Shimamoto Shozo,しまもと しょうぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,atsuko-tanaka,田中 敦子,Tanaka Atsuko,たなか あつこ,,符号つきで一致
規則どおり,,sadamasa-motonaga,元永 定正,Motonaga Sadamasa,もとなが さだまさ,,符号つきで一致
要裁定,(a) 長音の書き方,saburo-murakami,村上 三郎,Murakami Saburo,むらかみ さぶろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,akira-kanayama,金山 明,Kanayama Akira,かなやま あきら,,符号つきで一致
規則どおり,,tsuruko-yamazaki,山崎 つる子,Yamazaki Tsuruko,やまざき つるこ,,符号つきで一致
規則どおり,,sadaharu-horio,堀尾 貞治,Horio Sadaharu,ほりお さだはる,,符号つきで一致
要裁定,(a) 長音の書き方,yozo-ukita,浮田 要三,Ukita Yozo,うきた ようぞう,,長音を書かない形（規則の2つの書き方のどちらでもない）
要裁定,(a) 長音の書き方,chiyu-uemae,上前 智祐,Uemae Chiyu,うえまえ ちゆう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,yoshida-toshio,吉田 稔郎,Yoshida Toshio,よしだ としお,,符号つきで一致
要裁定,(a) 長音の書き方,jiro-takamatsu,高松 次郎,Takamatsu Jiro,たかまつ じろう,,長音を書かない形（規則の2つの書き方のどちらでもない）
規則どおり,,natsuyuki-nakanishi,中西 夏之,Nakanishi Natsuyuki,なかにし なつゆき,,符号つきで一致
規則どおり,,genpei-akasegawa,赤瀬川 原平,Akasegawa Genpei,あかせがわ げんぺい,,符号つきで一致
